Company_Period,Label,Confidence,x_min,y_min,x_max,y_max
GRASIM_2521-2610,Symmetrical Triangle,0.2760509377798087,2010-03-12,1700.05,2010-06-17,2988.0
GRASIM_2611-2700,Ascending Triangle,0.6359644108924244,2010-10-04,2187.8,2010-10-22,2385.0
GRASIM_2701-2790,Head and Shoulders,0.1623818809484263,2011-01-05,2279.15,2011-01-20,2510.0
GRASIM_2791-2880,No Pattern Detected,0.0,,,,
GRASIM_2881-2970,No Pattern Detected,0.0,,,,
GRASIM_2971-3060,No Pattern Detected,0.0,,,,
GRASIM_3061-3150,Triple Bottom Reversal,0.7238755061411158,2012-06-04,2210.0,2012-06-14,2397.95
GRASIM_3151-3240,Head and Shoulders,0.34420818813457066,2012-10-22,3280.0,2012-11-07,3452.0
GRASIM_3241-3330,No Pattern Detected,0.0,,,,
GRASIM_3331-3420,Descending Triangle,0.20444077299431893,2013-05-08,2105.65,2013-09-10,3160.0
GRASIM_3421-3510,No Pattern Detected,0.0,,,,
GRASIM_3511-3600,Triple Bottom Reversal,0.7502192923832097,2014-02-14,2426.35,2014-03-03,2599.0
GRASIM_3601-3690,No Pattern Detected,0.0,,,,
GRASIM_3691-3780,No Pattern Detected,0.0,,,,
GRASIM_3781-3870,No Pattern Detected,0.0,,,,
GRASIM_3871-3960,No Pattern Detected,0.0,,,,
GRASIM_3961-4050,Triple Bottom Reversal,0.8232276851746317,2016-02-09,3233.0,2016-02-26,3509.95
GRASIM_4051-4140,Ascending Triangle,0.7874253373823926,2016-07-15,4515.4,2016-08-11,5361.05
GRASIM_4141-4230,Double Top,0.4012552302356476,2016-09-28,4664.8,2016-10-05,4991.45
GRASIM_4231-4320,Flag and Pole,0.6920163350340213,2016-12-26,800.05,2017-05-08,1218.0
GRASIM_4321-4410,Triple Bottom Reversal,0.8402964018415856,2017-07-26,1039.5,2017-08-11,1137.2
GRASIM_4411-4500,Triple Bottom Reversal,0.610134427084406,2017-12-13,1097.0,2018-01-03,1170.6
GRASIM_4501-4590,Head and Shoulders,0.8999747503086074,2018-02-12,1081.65,2018-03-01,1201.65
GRASIM_4591-4680,Symmetrical Triangle,0.5521331547520026,2018-06-11,860.0,2018-10-17,1093.0
GRASIM_4681-4770,No Pattern Detected,0.0,,,,
GRASIM_4771-4860,Ascending Triangle,0.49340533541760423,2019-04-25,804.85,2019-07-11,959.8
GRASIM_4861-4950,Inverse Head and Shoulders,0.8939787318137862,2019-09-19,633.6,2019-10-11,786.0
GRASIM_4951-5040,Symmetrical Triangle,0.17788786178512778,2019-11-28,385.05,2020-04-03,836.9
GRASIM_5041-5130,Triple Bottom Reversal,0.49774043694922643,2020-05-05,469.2,2020-05-18,550.0
GRASIM_5131-5220,Ascending Triangle,0.5050612714517696,2020-11-20,838.6,2020-12-22,954.0
BAJFINANCE_1-90,Descending Triangle,0.5397324348429292,2000-02-11,28.05,2000-05-16,50.75
BAJFINANCE_91-180,No Pattern Detected,0.0,,,,
BAJFINANCE_181-270,Triple Bottom Reversal,0.5190222079699375,2000-11-02,27.5,2000-11-20,29.4
BAJFINANCE_271-360,Cup and Handle,0.1,2001-04-12,26.5,2001-06-15,32.15
BAJFINANCE_361-450,Triple Bottom Reversal,0.7548358177325131,2001-09-17,24.5,2001-10-09,27.0
BAJFINANCE_451-540,No Pattern Detected,0.0,,,,
BAJFINANCE_541-630,Head and Shoulders,0.8138484853999585,2002-06-20,53.55,2002-07-15,64.9
BAJFINANCE_631-720,Triple Bottom Reversal,0.6375634755317642,2002-11-12,42.7,2002-11-22,49.0
BAJFINANCE_721-810,Triple Bottom Reversal,0.5692264680100311,2003-03-25,47.05,2003-04-10,52.45
BAJFINANCE_811-900,Ascending Triangle,0.4974452448307036,2003-09-09,61.05,2003-11-13,80.0
BAJFINANCE_901-990,Descending Triangle,0.4919108001749005,2003-12-03,67.0,2004-03-24,103.0
BAJFINANCE_991-1080,No Pattern Detected,0.0,,,,
BAJFINANCE_1081-1170,Triple Bottom Reversal,0.30111811489165385,2004-08-11,86.55,2004-08-25,92.25
BAJFINANCE_1171-1260,Triple Bottom Reversal,0.5498907636317195,2005-01-06,118.15,2005-01-24,137.9
BAJFINANCE_1261-1350,Ascending Triangle,0.7125589240714523,2005-08-05,300.0,2005-08-24,322.0
BAJFINANCE_1351-1440,Triple Bottom Reversal,0.17786793671011938,2005-09-09,279.0,2005-11-02,419.9
BAJFINANCE_1441-1530,Symmetrical Triangle,0.4373615790755758,2006-02-27,448.0,2006-05-18,585.0
BAJFINANCE_1531-1620,No Pattern Detected,0.0,,,,
BAJFINANCE_1621-1710,No Pattern Detected,0.0,,,,
BAJFINANCE_1711-1800,Double Top,0.4885898371467079,2007-05-03,411.2,2007-05-15,516.0
BAJFINANCE_1801-1890,Symmetrical Triangle,0.39669928363956986,2007-06-19,320.0,2007-10-23,395.0
BAJFINANCE_1891-1980,No Pattern Detected,0.0,,,,
BAJFINANCE_1981-2070,Descending Triangle,0.6463604314639935,2008-02-29,128.8,2008-07-14,427.0
BAJFINANCE_2071-2160,Head and Shoulders,0.9,2008-08-25,127.05,2008-09-08,147.6
BAJFINANCE_2161-2250,Inverse Head and Shoulders,0.9,2009-02-26,45.25,2009-03-18,57.95
BAJFINANCE_2251-2340,No Pattern Detected,0.0,,,,
BAJFINANCE_2341-2430,Triple Bottom Reversal,0.7828559848790462,2009-09-10,200.55,2009-09-23,245.0
BAJFINANCE_2431-2520,Triple Bottom Reversal,0.6733374428909449,2010-02-15,283.1,2010-02-25,336.5
BAJFINANCE_2521-2610,Triple Bottom Reversal,0.702493845554299,2010-06-08,455.0,2010-07-01,484.0
BAJFINANCE_2611-2700,Symmetrical Triangle,0.5378142088842041,2010-10-06,536.0,2011-02-03,838.0
BAJFINANCE_2701-2790,No Pattern Detected,0.0,,,,
BAJFINANCE_2791-2880,Ascending Triangle,0.5772378150278173,2011-07-19,594.0,2011-10-25,780.0
BAJFINANCE_2881-2970,No Pattern Detected,0.0,,,,
BAJFINANCE_2971-3060,Ascending Triangle,0.7384330579420972,2012-04-19,821.0,2012-07-12,965.0
BAJFINANCE_3061-3150,Ascending Triangle,0.6786812161539476,2012-10-25,1235.0,2012-11-22,1389.0
BAJFINANCE_3151-3240,Head and Shoulders,0.9,2013-01-10,1361.6,2013-01-21,1458.4
BAJFINANCE_3241-3330,Double Top,0.8320063197893227,2013-06-11,1303.25,2013-07-15,1510.05
BAJFINANCE_3331-3420,Triple Bottom Reversal,0.6582633951772899,2013-08-28,965.3,2013-09-12,1175.0
BAJFINANCE_3421-3510,Triple Bottom Reversal,0.7527062313036854,2014-02-06,1460.0,2014-02-14,1519.95
BAJFINANCE_3511-3600,Triple Bottom Reversal,0.7922776069815193,2014-05-28,1905.65,2014-06-27,2230.0
BAJFINANCE_3601-3690,Triple Bottom Reversal,0.7479417421776157,2014-10-07,2539.0,2014-10-17,2797.35
BAJFINANCE_3691-3780,No Pattern Detected,0.0,,,,
BAJFINANCE_3781-3870,No Pattern Detected,0.0,,,,
BAJFINANCE_3871-3960,No Pattern Detected,0.0,,,,
BAJFINANCE_3961-4050,Triple Bottom Reversal,0.8286372107715824,2016-03-11,6330.0,2016-03-22,6715.7
BAJFINANCE_4051-4140,No Pattern Detected,0.0,,,,
BAJFINANCE_4141-4230,Triple Bottom Reversal,0.5944861737992532,2016-12-27,799.35,2017-01-09,914.9
BAJFINANCE_4231-4320,Triple Bottom Reversal,0.34532534629733574,2017-05-02,1190.55,2017-05-24,1374.0
BAJFINANCE_4321-4410,No Pattern Detected,0.0,,,,
BAJFINANCE_4411-4500,No Pattern Detected,0.0,,,,
BAJFINANCE_4501-4590,No Pattern Detected,0.0,,,,
BAJFINANCE_4591-4680,Symmetrical Triangle,0.2647162296150364,2018-12-04,2332.1,2019-01-30,2666.3
BAJFINANCE_4681-4770,Triple Bottom Reversal,0.6161535823066661,2019-02-18,2512.45,2019-02-27,2696.65
BAJFINANCE_4771-4860,Triple Bottom Reversal,0.05262696558592397,2019-08-05,3098.45,2019-08-22,3449.6
BAJFINANCE_4861-4950,No Pattern Detected,0.0,,,,
BAJFINANCE_4951-5040,Triple Bottom Reversal,0.5705097696233382,2020-05-11,1821.55,2020-05-26,2258.95
BAJFINANCE_5041-5130,Triple Bottom Reversal,0.8704281942259491,2020-08-03,3006.9,2020-10-15,3749.85
BAJFINANCE_5131-5220,Double Top,0.641910521630054,2021-03-03,5311.0,2021-03-12,5670.0
BAJAJ-AUTO_1-90,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_91-180,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_181-270,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_271-360,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_361-450,Ascending Triangle,0.7229247495462459,2010-02-17,1698.4,2010-03-29,2054.95
BAJAJ-AUTO_451-540,Triple Bottom Reversal,0.7262693355288607,2010-04-19,1994.95,2010-05-25,2223.4
BAJAJ-AUTO_541-630,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_631-720,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_721-810,Triple Bottom Reversal,0.48935078505995344,2011-05-16,1260.3,2011-05-25,1335.4
BAJAJ-AUTO_811-900,Double Top,0.7455006886883435,2011-11-16,1565.8,2011-12-08,1740.0
BAJAJ-AUTO_901-990,Double Top,0.17882352239080762,2012-02-29,1665.0,2012-03-12,1843.35
BAJAJ-AUTO_991-1080,Triple Bottom Reversal,0.8471846852003803,2012-07-09,1431.7,2012-07-17,1535.55
BAJAJ-AUTO_1081-1170,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_1171-1260,Head and Shoulders,0.9,2013-02-25,1905.0,2013-03-08,2042.2
BAJAJ-AUTO_1261-1350,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_1351-1440,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_1441-1530,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_1531-1620,Ascending Triangle,0.6873661295172585,2014-11-17,2555.7,2014-12-08,2695.0
BAJAJ-AUTO_1621-1710,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_1711-1800,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_1801-1890,Symmetrical Triangle,0.28758082401160284,2015-10-27,2336.5,2016-01-08,2600.0
BAJAJ-AUTO_1891-1980,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_1981-2070,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_2071-2160,Double Bottom,0.3220631379355281,2016-12-22,2551.0,2017-01-02,2666.8
BAJAJ-AUTO_2161-2250,Double Top,0.27033160798186306,2017-05-12,2967.1,2017-05-17,3047.5
BAJAJ-AUTO_2251-2340,Cup and Handle,0.4890259035045967,2017-08-24,2704.0,2017-11-03,3344.9
BAJAJ-AUTO_2341-2430,Symmetrical Triangle,0.18107674772877366,2017-12-26,2875.0,2018-03-15,3468.35
BAJAJ-AUTO_2431-2520,Symmetrical Triangle,0.4489638709211418,2018-07-04,2615.0,2018-07-24,3194.95
BAJAJ-AUTO_2521-2610,Symmetrical Triangle,0.7147666212673737,2018-09-07,2420.0,2018-12-07,2949.0
BAJAJ-AUTO_2611-2700,Symmetrical Triangle,0.23308690880969546,2019-03-11,2831.0,2019-04-18,3089.9
BAJAJ-AUTO_2701-2790,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_2791-2880,Double Top,0.5755915939434515,2019-12-11,3182.0,2019-12-30,3283.3
BAJAJ-AUTO_2881-2970,Triple Bottom Reversal,0.1416408693436014,2020-03-30,1930.3,2020-04-08,2383.45
BAJAJ-AUTO_2971-3060,No Pattern Detected,0.0,,,,
BAJAJ-AUTO_3061-3150,Triple Bottom Reversal,0.6847233660174308,2020-10-26,2822.45,2020-11-10,3113.75
HDFC_1-90,No Pattern Detected,0.0,,,,
HDFC_91-180,Ascending Triangle,0.44539415742413235,2000-05-30,452.3,2000-09-20,582.25
HDFC_181-270,No Pattern Detected,0.0,,,,
HDFC_271-360,Triple Bottom Reversal,0.34184848713160376,2001-03-09,511.0,2001-04-10,603.2
HDFC_361-450,No Pattern Detected,0.0,,,,
HDFC_451-540,Ascending Triangle,0.7426548029780282,2001-11-02,617.0,2002-02-27,710.0
HDFC_541-630,No Pattern Detected,0.0,,,,
HDFC_631-720,Ascending Triangle,0.7205746548819062,2002-08-01,541.85,2002-11-18,674.0
HDFC_721-810,No Pattern Detected,0.0,,,,
HDFC_811-900,Symmetrical Triangle,0.3485314239287534,2003-07-03,385.0,2003-08-06,442.5
HDFC_901-990,Triple Bottom Reversal,0.7508992797453812,2003-08-22,459.9,2003-09-18,510.0
HDFC_991-1080,Symmetrical Triangle,0.3303476866638184,2004-02-11,575.0,2004-04-22,691.9
HDFC_1081-1170,Descending Triangle,0.4612797706678192,2004-05-05,450.0,2004-08-27,656.0
HDFC_1171-1260,No Pattern Detected,0.0,,,,
HDFC_1261-1350,No Pattern Detected,0.0,,,,
HDFC_1351-1440,Ascending Triangle,0.6872322947450533,2005-07-06,855.0,2005-09-22,1080.9
HDFC_1441-1530,Inverse Head and Shoulders,0.9,2005-10-17,901.0,2005-10-28,990.0
HDFC_1531-1620,Symmetrical Triangle,0.5106630258845366,2006-02-10,962.0,2006-06-15,1420.2
HDFC_1621-1710,Ascending Triangle,0.7375375293162133,2006-09-18,1312.1,2006-10-20,1561.0
HDFC_1711-1800,No Pattern Detected,0.0,,,,
HDFC_1801-1890,Inverse Head and Shoulders,0.9,2007-03-28,1400.0,2007-04-12,1615.0
HDFC_1891-1980,Symmetrical Triangle,0.29161865981232205,2007-10-03,2250.0,2007-11-20,2899.0
HDFC_1981-2070,Head and Shoulders,0.25582311422280846,2008-01-04,2200.0,2008-02-05,3262.0
HDFC_2071-2160,No Pattern Detected,0.0,,,,
HDFC_2161-2250,No Pattern Detected,0.0,,,,
HDFC_2251-2340,Inverse Head and Shoulders,0.9,2009-02-26,1119.0,2009-03-18,1405.0
HDFC_2341-2430,Ascending Triangle,0.7234151521354547,2009-07-03,2144.9,2009-09-22,2688.0
HDFC_2431-2520,Head and Shoulders,0.8147026672496758,2009-11-11,2645.5,2009-12-01,2845.1
HDFC_2521-2610,No Pattern Detected,0.0,,,,
HDFC_2611-2700,Symmetrical Triangle,0.5130972308151546,2010-06-24,595.25,2010-10-22,3145.0
HDFC_2701-2790,No Pattern Detected,0.0,,,,
HDFC_2791-2880,Cup and Handle,0.625392614180925,2011-06-20,625.1,2011-07-12,732.95
HDFC_2881-2970,No Pattern Detected,0.0,,,,
HDFC_2971-3060,No Pattern Detected,0.0,,,,
HDFC_3061-3150,Ascending Triangle,0.5311488049344627,2012-04-19,610.5,2012-08-08,725.0
HDFC_3151-3240,Ascending Triangle,0.536029357798164,2012-11-30,822.0,2012-12-20,882.3
HDFC_3241-3330,Triple Bottom Reversal,0.6127193852295938,2013-03-05,750.1,2013-04-11,838.55
HDFC_3331-3420,Symmetrical Triangle,0.2256634954886314,2013-05-15,632.2,2013-09-10,931.4
HDFC_3421-3510,No Pattern Detected,0.0,,,,
HDFC_3511-3600,Ascending Triangle,0.3466347939913914,2014-04-10,810.0,2014-06-03,956.45
HDFC_3601-3690,Head and Shoulders,0.8649312184823802,2014-08-28,1010.65,2014-09-22,1084.1
HDFC_3691-3780,Ascending Triangle,0.7311816163470373,2015-01-21,1208.15,2015-02-27,1374.2
HDFC_3781-3870,Cup and Handle,0.5773734912357145,2015-06-08,1156.0,2015-07-09,1347.4
HDFC_3871-3960,No Pattern Detected,0.0,,,,
HDFC_3961-4050,No Pattern Detected,0.0,,,,
HDFC_4051-4140,No Pattern Detected,0.0,,,,
HDFC_4141-4230,Descending Triangle,0.5358549383743217,2016-09-06,1183.15,2016-12-23,1464.0
HDFC_4231-4320,Triple Bottom Reversal,0.6362077667637859,2017-01-12,1217.6,2017-01-20,1264.0
HDFC_4321-4410,Ascending Triangle,0.5675460268389089,2017-07-31,1681.4,2017-09-14,1802.0
HDFC_4411-4500,Triple Bottom Reversal,0.7445244502808416,2017-12-01,1640.85,2018-01-01,1741.3
HDFC_4501-4590,No Pattern Detected,0.0,,,,
HDFC_4591-4680,No Pattern Detected,0.0,,,,
HDFC_4681-4770,No Pattern Detected,0.0,,,,
HDFC_4771-4860,Ascending Triangle,0.5742249466642472,2019-06-03,2133.5,2019-07-11,2300.7
HDFC_4861-4950,Cup and Handle,0.5331397281929218,2019-10-07,1963.05,2019-11-26,2320.0
HDFC_4951-5040,No Pattern Detected,0.0,,,,
HDFC_5041-5130,No Pattern Detected,0.0,,,,
HDFC_5131-5220,Inverse Head and Shoulders,0.9,2020-09-14,1623.0,2020-10-05,1816.5
HCLTECH_1-90,Double Top,0.58920654465856,2000-03-03,1522.6,2000-03-22,2622.5
HCLTECH_91-180,No Pattern Detected,0.0,,,,
HCLTECH_181-270,No Pattern Detected,0.0,,,,
HCLTECH_271-360,Symmetrical Triangle,0.23452038490446278,2001-02-08,202.2,2001-06-18,663.7
HCLTECH_361-450,No Pattern Detected,0.0,,,,
HCLTECH_451-540,Ascending Triangle,0.720986197868089,2001-12-07,217.0,2002-03-07,329.6
HCLTECH_541-630,No Pattern Detected,0.0,,,,
HCLTECH_631-720,No Pattern Detected,0.0,,,,
HCLTECH_721-810,No Pattern Detected,0.0,,,,
HCLTECH_811-900,Triple Bottom Reversal,0.4287217906629326,2003-05-27,117.8,2003-06-24,155.0
HCLTECH_901-990,Symmetrical Triangle,0.25743035497996547,2003-11-05,227.0,2003-12-19,297.0
HCLTECH_991-1080,Triple Bottom Reversal,0.15450026849438328,2004-03-24,234.15,2004-04-02,270.9
HCLTECH_1081-1170,Ascending Triangle,0.24054868083939784,2004-05-24,271.0,2004-09-06,349.0
HCLTECH_1171-1260,Double Top,0.7629013535423277,2004-10-19,336.3,2004-11-30,398.0
HCLTECH_1261-1350,No Pattern Detected,0.0,,,,
HCLTECH_1351-1440,Ascending Triangle,0.6889886619730601,2005-09-01,412.0,2005-09-30,483.9
HCLTECH_1441-1530,Inverse Head and Shoulders,0.9,2005-10-24,402.25,2005-11-09,478.9
HCLTECH_1531-1620,Double Top,0.2922095003679082,2006-04-03,550.0,2006-04-18,680.0
HCLTECH_1621-1710,Ascending Triangle,0.6872623449444244,2006-08-14,460.95,2006-10-31,642.0
HCLTECH_1711-1800,No Pattern Detected,0.0,,,,
HCLTECH_1801-1890,Descending Triangle,0.41232174010643385,2007-03-14,254.7,2007-07-23,640.0
HCLTECH_1891-1980,Symmetrical Triangle,0.1714530769156618,2007-07-26,244.3,2007-11-28,336.8
HCLTECH_1981-2070,Symmetrical Triangle,0.2570493673049071,2007-11-30,185.05,2008-04-09,335.5
HCLTECH_2071-2160,No Pattern Detected,0.0,,,,
HCLTECH_2161-2250,No Pattern Detected,0.0,,,,
HCLTECH_2251-2340,Inverse Head and Shoulders,0.7866436467591363,2009-03-05,86.65,2009-03-30,105.95
HCLTECH_2341-2430,Triple Bottom Reversal,0.7016608071571397,2009-06-08,162.25,2009-07-10,212.95
HCLTECH_2431-2520,Symmetrical Triangle,0.21799510996230298,2009-12-24,317.55,2010-02-15,388.9
HCLTECH_2521-2610,No Pattern Detected,0.0,,,,
HCLTECH_2611-2700,No Pattern Detected,0.0,,,,
HCLTECH_2701-2790,Double Top,0.22456659952512367,2011-02-02,451.5,2011-02-15,503.45
HCLTECH_2791-2880,No Pattern Detected,0.0,,,,
HCLTECH_2881-2970,Descending Triangle,0.43898369887262984,2011-07-25,360.0,2011-12-02,521.85
HCLTECH_2971-3060,No Pattern Detected,0.0,,,,
HCLTECH_3061-3150,Triple Bottom Reversal,0.801933416238668,2012-06-28,455.05,2012-07-23,500.0
HCLTECH_3151-3240,No Pattern Detected,0.0,,,,
HCLTECH_3241-3330,No Pattern Detected,0.0,,,,
HCLTECH_3331-3420,Triple Bottom Reversal,0.5399329857675602,2013-05-30,721.0,2013-06-07,753.9
HCLTECH_3421-3510,Triple Bottom Reversal,0.7817671763015597,2013-10-24,1042.35,2013-11-27,1137.9
HCLTECH_3511-3600,No Pattern Detected,0.0,,,,
HCLTECH_3601-3690,No Pattern Detected,0.0,,,,
HCLTECH_3691-3780,Triple Bottom Reversal,0.4312997273345599,2014-12-17,1415.0,2015-01-07,1618.95
